順位,名前,点数
260,コカ・コーライーストジャパン,760
261,エイチ・アイ・エス,180
262,レンゴー,250
263,サッポロホールディングス,780
264,小田急電鉄,420
265,しまむら,380
266,ゼンショーホールディングス,620
267,パイオニア,200
268,ミネベア,110
269,ローソン,260
270,ＨＯＹＡ,1
271,テルモ,260
272,マツモトキヨシホールディングス,960
273,大同特殊鋼,750
274,レオパレス２１,620
275,荏原製作所,710
276,西武ホールディングス,470
277,山九,260
278,伊藤ハム,60
279,千代田化工建設,730
280,日産車体,210
281,三井金属鉱業,810
282,芙蓉総合リース,430
283,バローホールディングス,800
284,アークス,260
285,きんでん,310
286,オリエンタルランド,670
287,ＤＯＷＡホールディングス,360
288,ベネッセホールディングス,560
289,三谷商事,170
290,中外製薬,340
291,郵船ロジスティクス,760
292,ＳＭＣ,1
293,東海理化電機製作所,940
294,大王製紙,200
295,サンドラッグ,440
296,ダイセル,310
297,ユアサ商事,170
298,ツルハホールディングス,810
299,関電工,640
300,山善,110
301,テイ・エス　テック,650
302,ＫＮＴ－ＣＴホールディングス,420
303,ヤマハ,60
304,日清食品ホールディングス,1110
305,日本軽金属ホールディングス,950
306,ＤＣＭホールディングス,360
307,伊藤園,60
308,ヤフー,1
309,五洋建設,370
310,コカ・コーラウエスト,650
311,フタバ産業,160
312,戸田建設,400
313,平和堂,50
314,ニトリホールディングス,720
315,田辺三菱製薬,960
316,マキタ,260
317,クラレ,530
318,ミサワホーム,180
319,コスモス薬品,740
320,京王電鉄,340
321,野村総合研究所,850
322,横河電機,630
323,前田建設工業,840
324,丸井グループ,670
325,ＪＳＲ,1
326,テンプホールディングス,720
327,住友理工,680
328,安川電機,640
329,センコー,260
330,新生銀行,430
331,ＮＩＰＰＯ,60
332,東洋ゴム工業,510
333,デンカ,250
334,スギホールディングス,530
335,伊藤忠テクノソリューションズ,820
336,東洋水産,150
337,ＡＴグループ,550
338,日本碍子,670
339,三井海洋開発,860
340,三井住友建設,740
341,日本触媒,670
342,ファミリーマート,380
343,上新電機,420
344,大日本住友製薬,880
345,キッコーマン,620
346,ＫＹＢ,1
347,ジーエス・ユアサ　コーポレーション,850
348,安藤・間,310
349,ヤクルト本社,590
350,ライオン,200
351,綜合警備保障,510
352,西日本鉄道,320
353,ローム,260
354,日本テレビホールディングス,890
355,熊谷組,450
356,ＩＴホールディングス,360
357,スタンレー電気,670
358,日立造船,140
359,セガサミーホールディングス,680
360,アシックス,650
361,興銀リース,610
362,アサツー　ディ・ケイ,370
363,東洋紡,110
